"TOK_added","DATE_added","SHOT_added","TIME_added","α0","αI","αB","αP","αn","αM","αR","αe","αk","ind_added","id"
"JET",20010320,54146,68.38818359375,0.105694,0.770414,0.240683,-0.608762,0.382446,0.177526,1.99186,0.717314,0.43521,9204,2152
"AUGW",20110428,26860,5.45,0.105665,0.7717,0.23728,-0.608488,0.382879,0.184394,1.99187,0.712377,0.430246,3288,956
"JET",20020521,55931,68.4019775390625,0.105695,0.770802,0.239014,-0.60855,0.382933,0.183991,1.99187,0.714598,0.432167,9241,2184
"AUGW",20171026,34942,5.6,0.105637,0.772246,0.237701,-0.609148,0.382956,0.18396,1.99188,0.712871,0.430674,3861,1484
"JET",20030509,59701,68.153564453125,0.105685,0.771615,0.23806,-0.609083,0.383158,0.184302,1.99189,0.713584,0.43115,9513,2405
"JETILW",20151210,89418,53,0.105715,0.770488,0.23883,-0.608388,0.382598,0.184419,1.99189,0.714412,0.432512,10232,3085
"AUG",19990319,11799,4.2,0.10567,0.770992,0.238471,-0.608496,0.382278,0.184336,1.9919,0.713896,0.431993,1945,243
"AUGW",20130322,29812,2.05,0.10565,0.77177,0.237791,-0.608704,0.383063,0.184067,1.99191,0.712997,0.430624,3592,1232
"AUGW",20171026,34942,5,0.105637,0.772221,0.23771,-0.609143,0.382965,0.183969,1.99191,0.712904,0.43069,3860,1483
"AUG",19990408,11947,3.15,0.105686,0.770412,0.239304,-0.608421,0.382362,0.184803,1.99192,0.714554,0.433451,1978,270
"AUGW",20090924,25219,3.6,0.105667,0.771506,0.237562,-0.608481,0.382768,0.184377,1.99192,0.712756,0.430709,3133,813
"JET",20010321,54158,61.3777770996094,0.105695,0.770739,0.240111,-0.608953,0.382557,0.177078,1.99193,0.716625,0.435031,9209,2156
"AUG",20020613,15974,3.25,0.105666,0.770951,0.238653,-0.608588,0.382161,0.184292,1.99194,0.714148,0.432309,2595,624
